"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 06 13:25:19 IST 2021","Fri Aug 06 13:25:19 IST 2021","111","","My Login application","","My Login application","Fail the test","Fail the test",""
"passed","Fri Aug 06 13:25:09 IST 2021","Fri Aug 06 13:25:19 IST 2021","9465","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials","Description"
